OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"THEA [+]","STARLINK-2568 [+]",0.0001766,+],+]
"STARLINK-4140 [+]","STRATOSAT-TK 1 (RS52S) [+]",0.0001741,+],+]
"FALCONSAT-6 [+]","STARLINK-30113 [+]",0.000173,+],+]
"STARLINK-1133 [+]","STRIX-1 [+]",0.0001724,+],+]
"RAVAN [+]","STARLINK-4511 [+]",0.0001723,+],+]
"SELFIESAT [+]","REVELA [+]",0.0001718,+],+]
"MINXSS-2 [+]","STARLINK-2403 [+]",0.0001712,+],+]
"XIAOXIANG 4 [+]","STARLINK-5443 [+]",0.0001702,+],+]
"BRIO [+]","STARLINK-1977 [+]",0.0001682,+],+]
"EAGLET-I [+]","STARLINK-5578 [+]",0.0001677,+],+]
"LEMUR-2-KADI [+]","STARLINK-4054 [+]",0.0001668,+],+]
"FORTE [+]","YAOGAN-40 01C [+]",0.000164,+],+]
"STARLINK-3283 [+]","OBJECT G [+]",0.0001624,+],+]
"STARLINK-5443 [+]","OBJECT E [+]",0.0001621,+],+]
"STARLINK-4374 [+]","UMKA 1 (RS40S) [+]",0.0001585,+],+]
"OBJECT A [+]","OBJECT C [+]",0.0001573,+],+]
"STARLINK-2016 [+]","OBJECT AS [+]",0.0001542,+],+]
"STARLINK-1459 [+]","ICEYE-X7 [+]",0.0001535,+],+]
"GHGSAT-C1 [+]","NUSAT-37 (JOAN CLARKE) [+]",0.0001501,+],+]
"LEMUR-2-GUSTAVO [+]","STARLINK-1465 [+]",0.0001501,+],+]
"NETSAT-4 [+]","STARLINK-2096 [+]",0.0001501,+],+]
"STARLINK-3823 [+]","OBJECT P [+]",0.0001499,+],+]
"SHIJIAN-6 05A (SJ-6 05A) [+]","CUBEBEL 2 (EU11S) [+]",0.0001485,+],+]
"STARLINK-1704 [+]","CS1 [+]",0.000145,+],+]
"LEMUR-2-JEREMIAH [+]","ION SCV-002 [+]",0.0001431,+],+]
"STARLINK-3797 [+]","OBJECT AG [+]",0.0001407,+],+]
"KOMPSAT-3A [+]","STARLINK-30523 [+]",0.0001383,+],+]
"STARLINK-4672 [+]","TROPICS-03 [+]",0.0001368,+],+]
"STARLINK-5326 [+]","TELEOS-2 [+]",0.0001362,+],+]
"JB-3 3 (ZY 2C) [+]","STARLINK-2251 [+]",0.0001336,+],+]
"R2 [+]","STARLINK-2657 [+]",0.000131,+],+]
"STARLINK-1335 [+]","R2 [+]",0.0001284,+],+]
"POLAR SCOUT KODIAK [+]","STARLINK-4707 [+]",0.0001262,+],+]
"JILIN-1 10 [+]","STARLINK-2432 [+]",0.0001258,+],+]
"STARLINK-5555 [+]","OBJECT H [+]",0.0001254,+],+]
"STARLINK-2089 [+]","OBJECT AS [+]",0.0001215,+],+]
"NANOSAT 1B [+]","STARLINK-3093 [+]",0.0001214,+],+]
"STARLINK-3343 [+]","TROPICS-07 [+]",0.0001214,+],+]
"RESURS-DK 1 [+]","STARLINK-1802 [+]",0.0001193,+],+]
"SPACEBEE-7 [+]","STARLINK-2463 [+]",0.0001192,+],+]
"KEPLER-4 (ANTILLES) [+]","STARLINK-30426 [+]",0.0001188,+],+]
"STARLINK-5105 [+]","POLYTECH-UNIVERSE 3 (RS46S) [+]",0.0001185,+],+]
"STARLINK-3135 [+]","TROPICS-03 [+]",0.000118,+],+]
"STARLINK-1195 [+]","LEMUR-2-SAOIRSEDH5GUO [+]",0.0001175,+],+]
"LEMUR-2-ZO [+]","STARLINK-1149 [+]",0.0001172,+],+]
"Z-SAT [+]","STARLINK-3864 [+]",0.0001169,+],+]
"STARLINK-4141 [+]","SITRO-AIS 12 (SMIRENNIY) [+]",0.0001149,+],+]
"STARLINK-5930 [+]","STARLING 2 [+]",0.0001144,+],+]
"STARLINK-3117 [+]","OBJECT D [+]",0.0001143,+],+]
"SPROUT [+]","STARLINK-5132 [+]",0.000114,+],+]
"STARLINK-4089 [+]","TROPICS-03 [+]",0.0001136,+],+]
"LEMUR-2-KADI [+]","STARLINK-3044 [+]",0.000112,+],+]
"STARLINK-2692 [+]","SVYATOBOR 1 (RS60S) [+]",0.0001103,+],+]
"SPACEBEE-169 [+]","STARLINK-30320 [+]",0.00011,+],+]
"R2 [+]","STARLINK-3808 [+]",0.0001085,+],+]
"NEUSAR [+]","STARLINK-4703 [+]",0.0001084,+],+]
"PROMETHEUS 2-1 [+]","STARLINK-4772 [+]",0.0001072,+],+]
"PROMETHEUS 2-1 [+]","STARLINK-4158 [+]",0.0001065,+],+]
"STARLINK-4718 [+]","OBJECT AS [+]",0.0001061,+],+]
"STARLINK-4056 [+]","OBJECT V [+]",0.0001056,+],+]
"STARLINK-2327 [+]","STRIX-1 [+]",0.0001052,+],+]
"AEROCUBE 8D [+]","STARLINK-5729 [+]",0.000105,+],+]
"LEMUR-2-REMY-COLTON [+]","STARLINK-4264 [+]",0.0001049,+],+]
"STARLINK-4746 [+]","POLYTECH-UNIVERSE 3 (RS46S) [+]",0.0001043,+],+]
"ICEYE-X5 [+]","STARLINK-4643 [+]",0.000103,+],+]
"LEMUR-2-REMY-COLTON [+]","STARLINK-5145 [+]",0.0001025,+],+]
"BDSAT-2 [+]","OBJECT Y [+]",0.0001024,+],+]
"SJ-12 [+]","STARLINK-5657 [+]",0.0001022,+],+]
"CENTAURI-1 [+]","STARLINK-5072 [+]",0.0001018,+],+]
"POLAR SCOUT KODIAK [+]","STARLINK-1366 [+]",0.0001013,+],+]
"HST [+]","DONGPO 06 [+]",0.0001011,+],+]
"FALCONSAT-6 [+]","STARLINK-2085 [+]",0.0001005,+],+]
"STARLINK-3073 [+]","ANSER-FLW1 [+]",0.00009996,+],+]
"STARLINK-4656 [+]","OBJECT D [+]",0.00009968,+],+]
"TIANHUI 2-02B [+]","STARLINK-30489 [+]",0.00009909,+],+]
"TIANQI-14 [+]","STARLINK-5924 [+]",0.00009896,+],+]
"AL-FARABI 2 [+]","STARLINK-2587 [+]",0.00009756,+],+]
"STARLINK-2709 [+]","CS2 [+]",0.00009739,+],+]
"STARLINK-4260 [+]","OBJECT E [+]",0.00009733,+],+]
"STARLINK-1671 [+]","OBJECT V [+]",0.00009513,+],+]
"STARLINK-2482 [+]","KOSEN-1 [+]",0.00009445,+],+]
"AL-FARABI 2 [+]","STARLINK-2576 [+]",0.00009384,+],+]
"CUBESX-HSE [+]","TROPICS-05 [+]",0.00009366,+],+]
