NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,CONJUCTION_COUNT
52703,"STARLINK-4020 [+]",5808,"THOR ABLESTAR DEB [-]",3
41853,"AEROCUBE 8C [+]",55479,"STARLINK-5688 [+]",3
44225,"AFOTEC-1 (FALCON ODE) [+]",47516,"FLOCK 4S-16 [+]",3
56508,"STARLINK-5335 [+]",44593,"CZ-4B DEB [-]",3
57664,"STARLINK-30302 [+]",17191,"COSMOS 1805 [?]",3
55570,"STARLINK-5737 [+]",56296,"STARLINK-30089 [P]",3
55057,"FLOCK 4Y-35 [+]",55079,"FLOCK 4Y-13 [+]",3
55035,"FLOCK 4Y-3 [+]",55040,"FLOCK 4Y-16 [+]",3
46906,"KSM1-C [+]",48485,"STARLINK-2500 [+]",3
57519,"HJ-2F [+]",57986,"YAOGAN-39 03A [+]",3
37185,"XM-5 [+]",37843,"VIASAT-1 [P]",3
47439,"YUSAT-1 [+]",47688,"FLOCK 4S-45 [+]",3
53815,"STRIX-1 [+]",57894,"STARLINK-30443 [+]",3
40298,"ASNARO [+]",16719,"COSMOS 1743 [?]",3
51960,"STARLINK-3691 [+]",57192,"SITRO-AIS 6 (CHIRKIN) [+]",3
43159,"JILIN-1 07 [+]",18152,"COSMOS 1862 [?]",3
43884,"LEMUR-2-REMY-COLTON [+]",54777,"STARLINK-5468 [+]",3
56189,"IT'S ABOUT TIME [+]",56495,"STARLINK-5529 [+]",3
55033,"FLOCK 4Y-28 [+]",24163,"PEGASUS DEB [-]",3
31125,"SAUDICOMSAT 3 [+]",34751,"COSMOS 2251 DEB [-]",3
46906,"KSM1-C [+]",47667,"STARLINK-2058 [+]",3
51815,"STARLINK-3604 [+]",57191,"POLYTECH-UNIVERSE 3 (RS46S) [+]",3
45228,"STARLINK-1222 [+]",57326,"OBJECT BA [-]",3
32956,"COSMOS 2439 [+]",3123,"DELTA 1 DEB [-]",3
45095,"STARLINK-1147 [+]",52935,"DS-EO [+]",3
47530,"FLOCK 4S-36 [+]",52733,"LEMUR-2-VANDENDRIES [+]",3
43079,"IRIDIUM 131 [+]",85023,"UNKNOWN [-]",3
40076,"TECHDEMOSAT-1 (TDS-1) [P]",32072,"CBERS 1 DEB [-]",3
47395,"STARLINK-2117 [+]",57204,"SITRO-AIS 12 (SMIRENNIY) [+]",3
57182,"MONITOR-4 (RS57S) [+]",52034,"MINOTAUR 4 DEB [-]",3
56198,"UMBRA-06 [+]",57036,"OBJECT AJ [+]",3
33321,"HUANJING 1B (HJ-1B) [+]",23318,"SL-14 R/B [-]",3
57169,"OBJECT D [+]",57892,"STARLINK-30470 [+]",3
42838,"LEMUR-2-ANDIS [+]",57816,"STARLINK-30386 [+]",3
47650,"STARLINK-2033 [+]",57206,"OBJECT AS [+]",3
56855,"OBJECT K [+]",56874,"LONGJIANG 3 [+]",3
56209,"GHGSAT-C7 [+]",58036,"STARLINK-30437 [+]",3
41187,"ORBCOMM FM108 [+]",22491,"PEGASUS R/B [-]",3
46495,"SALSAT [+]",51802,"STARLINK-3557 [+]",3
54685,"DONGPO 09 [+]",57916,"STARLINK-30491 [+]",3
41459,"E-ST@R-II [+]",42775,"AALTO-1 [+]",3
47488,"ASTROCAST-0102 [+]",54374,"YAOGAN-36 03B [+]",3
53565,"STARLINK-4575 [+]",47211,"RESURS O1 DEB [-]",3
49139,"STARLINK-3057 [+]",39442,"PUCP-SAT 1 [-]",3
47607,"STARLINK-2025 [P]",48150,"STARLINK-2493 [+]",3
54073,"STARLINK-5146 [+]",43789,"IRVINE02 [-]",3
44940,"STARLINK-1091 [+]",46906,"KSM1-C [+]",3
46025,"GAOFEN-9 04 [+]",54818,"GAOFEN-11 04 [+]",3
45939,"ZINYUAN-3 [+]",48085,"BEESAT-8 [+]",3
40087,"ORBCOMM FM107 [+]",40569,"DMSP 5D-2 F13 DEB [-]",3
43613,"ICESAT-2 [+]",56182,"LEMUR-2-ONREFLECTION [+]",3
47971,"GLOBAL-9 [+]",14803,"SL-8 DEB [-]",3
56219,"LLITED B [+]",15889,"COSMOS 1666 [?]",3
37739,"GLOBALSTAR M083 [+]",16139,"COSMOS 1691 [?]",3
40025,"QB50P1 [+]",55909,"CAPELLA-10-WHITNEY [+]",3
44310,"BUFENG 1A [+]",46061,"STARLINK-1573 [+]",3
57519,"HJ-2F [+]",50523,"COSMOS 1408 DEB [-]",3
43764,"POLAR SCOUT KODIAK [+]",45182,"STARLINK-1201 [+]",3
49260,"LANDSAT 9 [+]",34854,"COSMOS 2251 DEB [-]",3
44767,"STARLINK-1062 [+]",40027,"FLOCK 1C-1 [-]",3
31792,"COSMOS 2428 [+]",55557,"CZ-6A DEB [-]",3
48910,"GNOMES-2 [+]",58057,"STARLINK-30541 [+]",3
56195,"GHOST-1 [+]",57519,"HJ-2F [+]",3
54695,"JILIN-1 GAOFEN 03D48 [+]",57925,"STARLINK-30452 [+]",3
46478,"HJ-2A [+]",35253,"METEOR 2-5 DEB [-]",3
43185,"LEMUR-2-THENICKMOLO [+]",53627,"STARLINK-4595 [+]",3
53852,"STARLINK-4797 [+]",19046,"SL-3 R/B [-]",3
41850,"CELTEE 1 [+]",56882,"STARLINK-6175 [+]",3
43876,"KANOPUS-V 5 [+]",55080,"FLOCK 4Y-23 [+]",3
53508,"STARLINK-4443 [+]",24682,"PEGASUS DEB [-]",3
53919,"STARLINK-5023 [+]",57188,"HORS 1 [+]",3
57293,"STARLINK-30202 [+]",40040,"FLOCK 1C-8 [-]",3
41877,"RESOURCESAT-2A [+]",31888,"FENGYUN 1C DEB [-]",3
43259,"GAOFEN-1 02 [+]",21398,"SL-14 R/B [-]",3
57760,"BB3 [+]",30173,"FENGYUN 1C DEB [-]",3
55961,"STARLINK-5933 [+]",43675,"H-2A DEB [-]",3
43152,"ASNARO-2 [+]",49789,"COSMOS 1408 DEB [-]",3
51868,"STARLINK-3578 [+]",1883,"TITAN 3C TRANSTAGE DEB [-]",3
42825,"KANOPUS-V-IK [+]",48964,"SPARTAN [+]",3
57628,"HEAD-3C [+]",24778,"DMSP 5D-2 F14 DEB [-]",3
28470,"JB-3 3 (ZY 2C) [+]",47173,"STARLINK-1890 [+]",3
43574,"IRIDIUM 154 [+]",48741,"NOAA 17 DEB [-]",3
41335,"SENTINEL-3A [+]",270220,"UNKNOWN [-]",3
41913,"XINGYUN SHIYAN-1 [+]",46281,"PICASSO-BEL [+]",3
43772,"RANGE-A [+]",56916,"STARLINK-5973 [+]",3
49262,"CS2 [+]",51852,"STARLINK-3542 [+]",3
44424,"COSMOS 2538 [+]",47977,"STARLINK-2087 [+]",3
37792,"APRIZESAT 5 [+]",48524,"YUNHAI 1-02 DEB [-]",3
