OBJECT_NAME_1,OBJECT_NAME_2,TCA
"STARLINK-2188 [+]","FLOCK 3S-2 [-]","2023-11-09 01:50:49.778"
"STARLINK-4770 [+]","PSLV R/B [-]","2023-11-09 01:52:04.454"
"STARLINK-4791 [+]","OBJECT AX [-]","2023-11-09 01:53:07.375"
"STARLINK-5663 [+]","SL-8 DEB [-]","2023-11-09 01:54:07.066"
"STARLINK-6376 [+]","THORAD AGENA D DEB [-]","2023-11-09 01:54:36.758"
"STARLINK-4072 [+]","OBJECT AE [+]","2023-11-09 01:54:48.659"
"STARLINK-30202 [+]","SL-3 R/B [-]","2023-11-09 01:55:25.341"
"STARLINK-5824 [+]","FLOCK 1C-6 [-]","2023-11-09 01:57:28.945"
"STARLINK-5168 [+]","COSMOS 374 DEB [-]","2023-11-09 01:58:11.510"
"STARLINK-2590 [+]","OBJECT F [-]","2023-11-09 01:58:18.649"
"STARLINK-3045 [+]","CSC-1 [+]","2023-11-09 01:58:34.811"
"STARLINK-5323 [+]","DELTA 2 R/B(1) [-]","2023-11-09 01:58:48.516"
"STARLINK-4360 [+]","H-2A R/B [-]","2023-11-09 01:59:34.636"
"STARLINK-1722 [+]","NETSAT-1 [+]","2023-11-09 02:00:16.417"
"STARLINK-3935 [+]","FLOCK 1C-8 [-]","2023-11-09 02:00:43.586"
"STARLINK-5604 [+]","LEMUR-2-DEVERILL-M-T [+]","2023-11-09 02:01:45.774"
"STARLINK-4100 [+]","FLOCK 1C-3 [-]","2023-11-09 02:02:15.966"
"STARLINK-1327 [+]","OBJECT H [+]","2023-11-09 02:02:35.443"
"STARLINK-3320 [+]","COSMOS 921 DEB [-]","2023-11-09 02:03:17.435"
"STARLINK-2217 [+]","COSMOS 2251 DEB [-]","2023-11-09 02:03:22.417"
"STARLINK-5249 [+]","OBJECT Q [+]","2023-11-09 02:03:44.767"
"STARLINK-3810 [+]","FLOCK 1C-3 [-]","2023-11-09 02:04:40.873"
"STARLINK-1498 [P]","SPACEBEE-158 [+]","2023-11-09 02:05:55.118"
"STARLINK-1574 [+]","OBJECT V [+]","2023-11-09 02:06:55.634"
"STARLINK-2482 [+]","PEGASUS DEB [-]","2023-11-09 02:08:29.997"
"STARLINK-1498 [P]","YAOGAN-36 03A [+]","2023-11-09 02:10:38.485"
"STARLINK-5135 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:11:05.930"
"STARLINK-1294 [+]","OBJECT F [+]","2023-11-09 02:11:08.217"
"STARLINK-30213 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:11:09.444"
"STARLINK-4184 [+]","OBJECT A [+]","2023-11-09 02:11:09.892"
"STARLINK-5029 [+]","OBJECT AJ [+]","2023-11-09 02:11:24.920"
"STARLINK-5044 [+]","COSMOS 1953 [?]","2023-11-09 02:14:12.446"
"STARLINK-1222 [+]","NANOZOND 1 (RS49S) [+]","2023-11-09 02:16:42.384"
"STARLINK-30110 [+]","COSMOS 2535 DEB [-]","2023-11-09 02:17:31.478"
"STARLINK-30219 [+]","NOAA 16 DEB [-]","2023-11-09 02:18:48.333"
"STARLINK-4642 [+]","RAX-2 [-]","2023-11-09 02:19:45.532"
"STARLINK-5639 [+]","ASTRO-H (HITOMI) [-]","2023-11-09 02:20:54.408"
"STARLINK-3295 [+]","TROPICS-07 [+]","2023-11-09 02:21:31.479"
"STARLINK-2561 [+]","PSLV DEB [-]","2023-11-09 02:22:22.697"
"STARLINK-30126 [+]","PUCP-SAT 1 [-]","2023-11-09 02:23:00.901"
"STARLINK-5894 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:23:44.585"
"STARLINK-5610 [+]","CZ-4B DEB [-]","2023-11-09 02:24:29.059"
"STARLINK-5995 [+]","PSLV DEB [-]","2023-11-09 02:24:43.445"
"STARLINK-3393 [+]","OBJECT C [+]","2023-11-09 02:24:52.822"
"STARLINK-30615 [+]","STARLINK-1264 [-]","2023-11-09 02:25:24.546"
"STARLINK-3837 [+]","KUZGTU 1 (RS47S) [+]","2023-11-09 02:26:56.381"
"STARLINK-5261 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:27:52.703"
"STARLINK-6096 [+]","OBJECT AZ [-]","2023-11-09 02:29:06.929"
"STARLINK-3108 [+]","UNKNOWN [-]","2023-11-09 02:32:14.170"
"STARLINK-2099 [+]","OBJECT AD [+]","2023-11-09 02:34:45.606"
"STARLINK-3180 [+]","OBJECT D [-]","2023-11-09 02:34:48.852"
"STARLINK-5809 [+]","COSMOS 2251 DEB [-]","2023-11-09 02:34:57.525"
"STARLINK-4030 [+]","KUZGTU 1 (RS47S) [+]","2023-11-09 02:36:29.885"
"STARLINK-5980 [+]","FALCON 9 DEB [-]","2023-11-09 02:37:24.154"
"STARLINK-5473 [+]","SL-3 DEB [-]","2023-11-09 02:37:51.276"
"STARLINK-4063 [+]","SITRO-AIS 12 (SMIRENNIY) [+]","2023-11-09 02:38:33.271"
"STARLINK-1936 [+]","OBJECT C [+]","2023-11-09 02:39:23.572"
"STARLINK-2170 [+]","HUMSAT-D [-]","2023-11-09 02:39:33.705"
"STARLINK-2520 [+]","FLOCK 1C-1 [-]","2023-11-09 02:39:37.195"
"STARLINK-2741 [+]","THORAD AGENA D DEB [-]","2023-11-09 02:41:09.940"
"STARLINK-1360 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:41:51.638"
"STARLINK-4014 [+]","OBJECT AD [+]","2023-11-09 02:42:31.155"
