NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,MAX_PROB,DILUTION
55296,"STARLINK-5285 [+]",58018,"ANSER-FLW2 [+]",0.00002284,0.315
54252,"JILIN-1 GAOFEN 03D51 [+]",49316,"OBJECT B [?]",0.000005487,0.236
46693,"STARLINK-1792 [+]",57023,"OBJECT V [+]",0.000004383,0.762
42767,"CARTOSAT-2E [+]",54682,"OBJECT A [+]",0.000000408,0.868
45377,"STARLINK-1305 [+]",37968,"COSMOS 2251 DEB [-]",0.00001426,0.4
55810,"ONEWEB-0646 [+]",34544,"COSMOS 2251 DEB [-]",0.00001252,0.352
51838,"JILIN-1 GAOFEN 03D17 [+]",18748,"COSMOS 1908 [?]",0.0000008778,0.693
57294,"STARLINK-30235 [+]",36077,"COSMOS 2251 DEB [-]",0.0000009995,0.546
53776,"STARLINK-4708 [+]",55327,"HAWK-6A [+]",0.000008579,0.527
53760,"YAOGAN-35 05A [+]",57987,"CZ-2D R/B [-]",0.00001137,0.151
52446,"JILIN-1 GAOFEN 3D29 [+]",57924,"STARLINK-30487 [+]",0.0000005388,0.818
53316,"YAOGAN-35 03A [+]",56222,"DISCO-1 [+]",0.000001951,0.479
28220,"SHIYAN 1 (SY-1) [+]",48031,"STARLINK-2267 [+]",0.00002325,0.399
37855,"M-CUBED & EXP-1 PRIME [+]",56200,"HAWK-7C [+]",0.0000008856,0.803
39419,"DUBAISAT-2 [+]",55407,"STARLINK-5019 [+]",0.00002069,0.379
53207,"STARLINK-4413 [+]",36597,"CZ-2D R/B [-]",0.0001087,0.157
45746,"STARLINK-1504 [+]",40036,"FLOCK 1C-6 [-]",0.00006646,0.257
42805,"IRIDIUM 120 [+]",35247,"FENGYUN 1C DEB [-]",0.0000004397,0.752
54670,"ONEWEB-0606 [+]",12696,"COSMOS 1275 DEB [-]",0.00002259,0.274
52120,"STARLINK-3534 [+]",54287,"CZ-6A DEB [-]",0.000004941,0.712
39135,"BEESAT-3 [+]",56806,"STARLINK-6072 [+]",0.00000523,0.262
58115,"STARLINK-30580 [+]",58198,"SZ-16 MODULE [+]",0.000000996,0.579
45396,"STARLINK-1303 [+]",46481,"CZ-4B R/B [-]",0.00009743,0.174
52568,"STARLINK-3930 [+]",57026,"OBJECT Y [+]",0.00006061,0.215
49962,"SHIJIAN-6 05B (SJ-6 05B) [+]",32350,"FENGYUN 1C DEB [-]",0.00001633,0.126
40358,"COSMOS 2502 [+]",14632,"SL-3 DEB [-]",0.000000822,0.792
40338,"YAOGAN-25 A [+]",953,"THOR ABLESTAR R/B [-]",0.000003477,0.574
53077,"STARLINK-4315 [+]",43822,"OBJECT BS [-]",0.000006461,0.769
53928,"STARLINK-5009 [+]",31733,"FENGYUN 1C DEB [-]",0.00001016,0.724
51112,"STARLINK-3374 [+]",57203,"UTMN 2 (RS27S) [+]",0.00001009,0.686
42805,"IRIDIUM 120 [+]",5903,"OPS 5058 (DMSP 5B F2) [-]",0.000000483,0.847
43076,"IRIDIUM 137 [+]",34174,"COSMOS 1818 COOLANT [-]",0.0000008876,0.532
53490,"STARLINK-4387 [+]",54520,"CZ-6A DEB [-]",0.00004339,0.261
53698,"YAOGAN-33 02 [+]",40794,"COSMOS 2251 DEB [-]",0.000004834,0.344
44923,"STARLINK-1106 [+]",16326,"COSMOS 1707 [?]",0.00001317,0.521
43786,"ITASAT [+]",35655,"COSMOS 2251 DEB [-]",0.000001602,0.67
54227,"MATS [+]",55299,"STARLINK-5270 [+]",0.00001684,0.39
50989,"TEVEL-8 [+]",15889,"COSMOS 1666 [?]",0.000002302,0.555
56153,"OBJECT A [+]",56156,"OBJECT D [+]",0.0003709,0.026
44311,"BUFENG 1B [+]",47846,"STARLINK-2456 [+]",0.0000155,0.381
52355,"STARLINK-3877 [+]",57582,"OBJECT C [+]",0.00003026,0.286
53320,"YAOGAN-35 03C [+]",55973,"TIANMU-1 03 [+]",0.000002885,0.318
36799,"TISAT 1 [+]",55945,"STARLINK-5925 [+]",0.00001586,0.427
42803,"IRIDIUM 113 [+]",33945,"COSMOS 2251 DEB [-]",0.0000004811,0.834
53815,"STRIX-1 [+]",57894,"STARLINK-30443 [+]",0.000001546,0.484
57188,"HORS 1 [+]",57894,"STARLINK-30443 [+]",0.000000829,0.663
52202,"COSMOS 2554 [+]",54958,"CZ-6A DEB [-]",0.000001352,0.466
47523,"FLOCK 4S-10 [+]",56494,"STARLINK-5530 [+]",0.0000002702,0.762
53648,"STARLINK-4622 [+]",57168,"OBJECT C [+]",0.0000157,0.621
52944,"RECURVE [+]",5300,"SL-8 DEB [-]",0.00005902,0.066
42786,"DIAMOND BLUE [+]",48904,"SPACEBEE-111 [+]",0.000000827,0.683
40358,"COSMOS 2502 [+]",31151,"FENGYUN 1C DEB [-]",0.000002336,0.434
57448,"STARLINK-30196 [+]",39853,"SL-16 DEB [-]",0.000009988,0.159
44341,"OTB [+]",29976,"FENGYUN 1C DEB [-]",0.0000008211,0.654
52272,"STARLINK-3781 [+]",37851,"DICE-F [-]",0.000083,0.17
47477,"FLOCK 4S-34 [+]",51039,"FLOCK 4X-36 [+]",0.0000002094,0.434
54376,"YAOGAN-36 03C [+]",52743,"OBJECT M [-]",0.0000008331,0.716
54020,"CENTISPACE-1 S5 [+]",14496,"DELTA 1 DEB [-]",0.0000005061,0.753
43768,"AISTECHSAT 2 [+]",40023,"FLOCK 1C-10 [-]",0.0000003187,0.713
40069,"METEOR-M 2 [P]",36861,"METEOR 2-8 DEB [-]",0.000001353,0.437
53135,"STARLINK-4023 [+]",56995,"AAC-HSI-SAT2 [+]",0.000003851,0.796
